,Address,Category,Latitude,Longitude,Name,Neighborhood
3,,Park,40.421606326847645,-3.708854129517835,スペイン広場,Palacio
4,Cuesta de Ramón,Park,40.414676428277154,-3.714789748191833,Parque del Emir Mohamed I,Palacio
5,,Park,40.414784907926006,-3.7154902841803747,Parque Cuesta De La Vega,Palacio
6,"C. Bailén, 2",Park,40.4199537391734,-3.713126238343502,Jardines de Sabatini,Palacio
0,La Flora 3,Athletics & Sports,40.41818156669019,-3.707970530975214,Gimnasio y Piscina Arian,Palacio
1,"Calle Mayor, 6",Athletics & Sports,40.41647661391564,-3.7053298415720475,Myst Gym Club,Palacio
2,,Athletics & Sports,40.41489987922848,-3.7091908728207295,FitUp,Palacio
3,Pl. de San Martín 5,Athletics & Sports,40.41857078825801,-3.7067000428990893,Hotel Intur Palacio San Martín,Palacio
4,,Athletics & Sports,40.41323001603948,-3.7088888196264933,Virgin Classic Capitan Haya,Palacio
5,"Plaza Izabel II, 5",Athletics & Sports,40.41842853581367,-3.710028650700107,Om Yoga,Palacio
6,"Calle de Fomento, 3",Athletics & Sports,40.42013,-3.709618,Opera Gym,Palacio
7,,Athletics & Sports,40.420684814453125,-3.707364797592163,The Cellar Gym,Palacio
8,"C/ de la Unión, 7",Athletics & Sports,40.41754,-3.710506,Movement Studio,Palacio
9,Cuesta de los ciegos,Athletics & Sports,40.41364763954604,-3.715352497170417,Cuesta De Los Ciegos,Palacio
10,Gran Via,Athletics & Sports,40.42263937372399,-3.70956280359624,Acquaplaya Spa,Palacio
11,,Athletics & Sports,40.41765814482205,-3.710439987343392,movement studio. Gyrotonic,Palacio
12,"Pl. Conde de Miranda, 1 Local 1",Athletics & Sports,40.414856881764855,-3.7093633860755775,Urban Yoga,Palacio
13,calle la paz,Athletics & Sports,40.41680466804477,-3.704354528325818,Centro Bindu,Palacio
14,,Athletics & Sports,40.421185,-3.715503,Kate's yogamat,Palacio
15,"C/ Caños del Peral 11, Bajo - Izq",Athletics & Sports,40.41900017266347,-3.7082252519765855,Pilates Ópera,Palacio
16,"Calle de Las Navas de Tolosa, 5",Athletics & Sports,40.41910006666667,-3.7067286999999993,Calgym,Palacio
17,Plaza de la Moreria 2,Athletics & Sports,40.41289546093881,-3.7128684283747444,Kross Gym,Palacio
0,Cuesta santo domingo 13,School,40.4204849928738,-3.708723897827395,Alliance Francaise,Palacio
1,,School,40.418453216552734,-3.7052364349365234,Briam A+,Palacio
2,Plaza de la Paja 4,School,40.4126865,-3.7114438999999493,Centro de Enseñanza Secundaria Santa Bárbara,Palacio
3,C/ Fomento,School,40.42075566261965,-3.710845559835434,I.E.S. Santa Teresa de Jesús,Palacio
4,"Plaza españa, 10",School,40.422626,-3.714102,Ábaco centro de estudios,Palacio
5,Gran vía 60,School,40.421903,-3.708413,ELP,Palacio
6,Plaza de Santa María Soledad Torres Acosta n°1,School,40.419682333685884,-3.706585656176896,Solo Idiomas,Palacio
7,Gran Via 59,School,40.42217882481973,-3.7092704123901177,Instituto Vox,Palacio
8,,School,40.42054038520097,-3.7084229830075826,Nuestra Señora Del Buen Consejo,Palacio
0,"C. Arenal, 26",University,40.41786680564627,-3.7083983206174476,Eureka,Palacio
1,"Cuesta San Vicente, 4",University,40.421659902592445,-3.713618972542852,Trazos,Palacio
2,"C. Bernardino Obregón, 25",University,40.41326754802807,-3.71080316773998,IMF Business School,Palacio
0,"Pz. San Miguel, 9",Bank,40.41555750490621,-3.709305102783937,BBVA Oficina,Palacio
1,Plaza Mostenses,Bank,40.4228,-3.7088,Parking Saba Plaza Mostenses,Palacio
